,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
43,the-sandbox,44,SAND,The Sandbox,1869731926.2233226,3000000000.0,774437173.491577,14494906.699223062,0.4141969031121296,-5.240568407153458,0.4188936001000352,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
44,fantom,45,FTM,Fantom,2799279287.260784,3175000000.0,748261846.8221816,107153321.35911693,0.2673051775246007,-11.815856063962139,0.2760003001441055,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
45,ecash,46,XEC,eCash,19436360923293.0,21000000000000.0,743597814.1753571,34911226.49876705,3.82580780996e-05,3.769183268835158,3.69499077095e-05,https://explorer.bitcoinabc.org/
46,tezos,47,XTZ,Tezos,944226730.895209,,739984685.5540172,6309669.916564854,0.7836938537552812,-4.392957032253196,0.7904964480457807,https://tzkt.io/
47,theta,48,THETA,THETA,1000000000.0,1000000000.0,727005705.8119255,5011963.24398606,0.7270057058119255,-4.490001882184226,0.7265062291433002,https://explorer.thetatoken.org/
48,rocket-pool,49,RPL,Rocket Pool,19547495.79882063,,724378360.3758328,604846.9572092635,37.05734830849981,-4.905892483026859,35.2864437742873,https://etherscan.io/token/0xb4efd85c19999d84251304bda99e90b92300bd93
49,decentraland,50,MANA,Decentraland,1893095370.6427295,,711385744.7026643,11591161.118542578,0.3757791370337248,-5.152943709536946,0.3800753301322843,https://etherscan.io/token/decentraland
50,axie-infinity,51,AXS,Axie Infinity,119284894.24538064,270000000.0,706343590.2455893,12738713.184455879,5.921483979292229,-3.184095026535847,5.931192968212524,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
51,render-token,52,RNDR,Render Token,368852897.10879594,536870912.0,705195153.0796982,5101958.82430381,1.9118601442669314,-5.655289458948696,1.9548831882984088,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
52,hedera-hashgraph,53,HBAR,Hedera Hashgraph,14832756028.0,50000000000.0,688760708.7975657,8418485.847257856,0.0464351134406433,-3.5886872978661932,0.0467580979056727,https://hash-hash.info/
53,curve-dao-token,54,CRV,Curve DAO Token,869110923.0,3303030299.0,647540203.4407768,6970294.762917392,0.7450604822749154,-5.824377790455758,0.7480975118298822,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
54,neo,55,NEO,Neo,70538831.0,100000000.0,639023979.6817133,20128483.419586033,9.059180179520034,-3.8782854448892836,9.150070409170523,https://neotracker.io
55,flow,56,FLOW,Flow,1036200000.0,,632392019.6882288,14581297.971748507,0.6102991890448068,-5.507672853246934,0.6264503805641048,https://flowscan.org/
